First Name,Last Name,Gender,Age,Email,Phone,Education,Occupation,Experience (Years),Salary,Marital Status,Number of Children
amy,moore,Female,26,a.moore@randatmail.com,177-8697-63,Bachelor,Astronomer,11,118590,Married,4
rosie,henderson,Female,29,r.henderson@randatmail.com,747-7768-48,Primary,Manager,14,42540,Single,1
garry,cooper,Male,29,g.cooper@randatmail.com,131-0615-33,Upper secondary,Agronamist,11,149123,Single,3
sarah,miller,Female,27,s.miller@randatmail.com,811-2617-15,Primary,Pharmacist,6,97946,Single,2
rubie,sullivan,Female,23,r.sullivan@randatmail.com,543-4162-06,Bachelor,Engineer,8,78613,Married,4
fiona,williams,Female,25,f.williams@randatmail.com,807-4311-40,Doctoral,Lecturer,7,65368,Single,5
thomas,carter,Male,24,t.carter@randatmail.com,281-1436-40,Bachelor,Veteranarian,5,64881,Single,4
sawyer,martin,Male,20,s.martin@randatmail.com,905-3877-91,Upper secondary,Lawer,7,140405,Married,0
eleanor,robinson,Female,20,e.robinson@randatmail.com,049-5493-56,Primary,Scientist,6,194147,Married,3
adrianna,kelley,Female,22,a.kelley@randatmail.com,251-3368-86,Upper secondary,Actor,0,160569,Married,1
maximilian,gray,Male,25,m.gray@randatmail.com,976-1552-14,Lower secondary,Baker,3,80813,Married,3
miley,stewart,Female,26,m.stewart@randatmail.com,504-2889-84,Bachelor,Veterinarian,5,145033,Married,4
tiana,grant,Female,19,t.grant@randatmail.com,326-8397-28,Bachelor,Economist,3,96135,Married,5
vincent,parker,Male,30,v.parker@randatmail.com,354-4888-28,Lower secondary,Salesman,9,170367,Single,0
edwin,roberts,Male,26,e.roberts@randatmail.com,593-4080-27,Doctoral,Fashion Designer,7,125753,Married,2
oscar,elliott,Male,28,o.elliott@randatmail.com,862-9748-49,Bachelor,Interpreter,5,74854,Single,2
eric,bailey,Male,28,e.bailey@randatmail.com,940-1010-90,Upper secondary,Interpreter,3,189933,Single,1
alexander,rogers,Male,26,a.rogers@randatmail.com,329-0405-60,Master,Programmer,9,119998,Single,5
richard,thompson,Male,21,r.thompson@randatmail.com,355-0318-95,Bachelor,Driver,10,104777,Single,1
alford,murphy,Male,24,a.murphy@randatmail.com,003-6561-34,Upper secondary,Fine Artist,11,137278,Single,5
david,murphy,Male,21,d.murphy@randatmail.com,894-1854-00,Lower secondary,Botanist,9,78710,Married,5
stella,barrett,Female,19,s.barrett@randatmail.com,227-0986-74,Doctoral,Police Officer,5,53667,Married,2
lyndon,smith,Male,21,l.smith@randatmail.com,668-2436-53,Primary,Bottanist,0,76830,Single,2
steven,carter,Male,30,s.carter@randatmail.com,715-7201-49,Upper secondary,Botanist,11,93973,Married,5
preston,barnes,Male,25,p.barnes@randatmail.com,007-6829-81,Bachelor,Singer,11,177626,Single,4
william,walker,Male,27,w.walker@randatmail.com,154-7340-83,Bachelor,Singer,5,171551,Single,3
haris,evans,Male,30,h.evans@randatmail.com,971-9369-18,Bachelor,Composer,10,60692,Married,4
maria,moore,Female,26,m.moore@randatmail.com,456-2003-63,Doctoral,Singer,2,186484,Married,0
lydia,carter,Female,29,l.carter@randatmail.com,296-9654-47,Lower secondary,Medic,4,140228,Married,1
tony,scott,Male,20,t.scott@randatmail.com,516-1118-94,Bachelor,Electrician,7,173792,Married,4
michael,campbell,Male,18,m.campbell@randatmail.com,678-3673-99,Primary,Lawer,6,81725,Married,1
jenna,robinson,Female,21,j.robinson@randatmail.com,484-8871-95,Master,Architect,10,44866,Single,3
kellan,perry,Male,19,k.perry@randatmail.com,007-7196-00,Doctoral,Accountant,3,146473,Married,2
paul,campbell,Male,25,p.campbell@randatmail.com,333-7643-81,Lower secondary,Accountant,11,178942,Married,4
owen,anderson,Male,24,o.anderson@randatmail.com,721-5432-57,Primary,Carpenter,5,184801,Single,3
camila,craig,Female,18,c.craig@randatmail.com,214-7433-34,Primary,Jeweller,6,137180,Married,1
luke,cooper,Male,26,l.cooper@randatmail.com,717-8884-75,Lower secondary,Geologist,10,133373,Married,4
frederick,martin,Male,18,f.martin@randatmail.com,293-2301-63,Primary,Interpreter,6,199056,Single,2
sabrina,wright,Female,24,s.wright@randatmail.com,870-2143-99,Master,Police Officer,7,158787,Married,3
emma,owens,Female,30,e.owens@randatmail.com,668-1442-04,Bachelor,Graphic Designer,14,180887,Single,2
arnold,crawford,Male,25,a.crawford@randatmail.com,518-6820-22,Upper secondary,Physicist,3,126988,Single,5
alisa,cameron,Female,30,a.cameron@randatmail.com,178-7304-99,Lower secondary,Engineer,7,193299,Married,3
abraham,perry,Male,19,a.perry@randatmail.com,955-0868-57,Primary,Lecturer,8,81195,Single,3
